Economy,ADB Country Code,Sector,Country 2018 GDP,Scenario,as % of total GDP, in $ Mn ,Employment (in 000),as % of sector GDP,as % of sector employment
Belgium,BEL,Transport services,542761.0921,"Shorter containment, smaller demand shock",-0.18, 958.84 ,9,-3.70,-3.90
Belgium,BEL,_All,542761.0921,"Shorter containment, smaller demand shock",-2.20," 11,927.24 ",115,-2.20,-2.21
Bulgaria,BGR,"Agriculture, Mining and Quarrying",65132.95112,"Shorter containment, smaller demand shock",-0.16, 105.02 ,15,-2.16,-2.06
Bulgaria,BGR,"Business, Trade, Personal, and Public Services",65132.95112,"Shorter containment, smaller demand shock",-1.43, 929.27 ,50,-2.56,-2.52
Bulgaria,BGR,Hotel and restaurants and Other Personal Services,65132.95112,"Shorter containment, smaller demand shock",-0.37, 239.19 ,18,-6.04,-5.35
Bulgaria,BGR,"Light/Heavy Manufacturing, Utilities, and Construction",65132.95112,"Shorter containment, smaller demand shock",-0.55, 357.34 ,22,-2.24,-2.17
Bulgaria,BGR,Transport services,65132.95112,"Shorter containment, smaller demand shock",-0.84, 548.49 ,26,-13.35,-13.88
Bulgaria,BGR,_All,65132.95112,"Shorter containment, smaller demand shock",-3.35," 2,179.31 ",132,-3.35,-3.10
Brazil,BRA,"Agriculture, Mining and Quarrying",1868626.088,"Shorter containment, smaller demand shock",-0.20," 3,733.82 ",350,-2.42,-2.40
Brazil,BRA,"Business, Trade, Personal, and Public Services",1868626.088,"Shorter containment, smaller demand shock",-1.41," 26,372.24 ",1221,-2.33,-2.32
Brazil,BRA,Hotel and restaurants and Other Personal Services,1868626.088,"Shorter containment, smaller demand shock",-0.21," 3,955.13 ",624,-2.75,-2.66
Brazil,BRA,"Light/Heavy Manufacturing, Utilities, and Construction",1868626.088,"Shorter containment, smaller demand shock",-0.43," 7,966.32 ",412,-2.25,-2.23
Brazil,BRA,Transport services,1868626.088,"Shorter containment, smaller demand shock",-0.12," 2,192.68 ",139,-2.62,-2.51
Brazil,BRA,_All,1868626.088,"Shorter containment, smaller demand shock",-2.37," 44,220.19 ",2746,-2.37,-2.40
Canada,CAN,"Agriculture, Mining and Quarrying",1713341.705,"Shorter containment, smaller demand shock",-0.25," 4,333.24 ",16,-2.40,-2.38
Canada,CAN,"Business, Trade, Personal, and Public Services",1713341.705,"Shorter containment, smaller demand shock",-1.29," 22,088.42 ",234,-2.18,-2.18
Canada,CAN,Hotel and restaurants and Other Personal Services,1713341.705,"Shorter containment, smaller demand shock",-0.24," 4,192.86 ",171,-5.01,-4.83
Canada,CAN,"Light/Heavy Manufacturing, Utilities, and Construction",1713341.705,"Shorter containment, smaller demand shock",-0.46," 7,898.41 ",93,-2.14,-2.11
Canada,CAN,Transport services,1713341.705,"Shorter containment, smaller demand shock",-0.11," 1,818.84 ",27,-2.81,-2.81
Canada,CAN,_All,1713341.705,"Shorter containment, smaller demand shock",-2.35," 40,331.77 ",540,-2.35,-2.66
Switzerland,SWI,"Agriculture, Mining and Quarrying",705140.3542,"Shorter containment, smaller demand shock",-0.02, 131.92 ,64,-2.31,-2.35
Switzerland,SWI,"Business, Trade, Personal, and Public Services",705140.3542,"Shorter containment, smaller demand shock",-1.33," 9,396.92 ",29,-2.05,-2.07
Switzerland,SWI,Hotel and restaurants and Other Personal Services,705140.3542,"Shorter containment, smaller demand shock",-0.26," 1,808.29 ",8,-6.16,-6.49
Switzerland,SWI,"Light/Heavy Manufacturing, Utilities, and Construction",705140.3542,"Shorter containment, smaller demand shock",-0.53," 3,765.41 ",16,-2.02,-2.06
Switzerland,SWI,Transport services,705140.3542,"Shorter containment, smaller demand shock",-0.21," 1,467.00 ",8,-5.61,-5.51
Switzerland,SWI,_All,705140.3542,"Shorter containment, smaller demand shock",-2.35," 16,569.53 ",125,-2.35,-2.42
People's Republic of China,PRC,"Agriculture, Mining and Quarrying",13608151.86,"Shorter containment, smaller demand shock",-0.62," 84,002.61 ",11598,-4.51,-4.50
People's Republic of China,PRC,"Business, Trade, Personal, and Public Services",13608151.86,"Shorter containment, smaller demand shock",-1.91," 259,946.48 ",9537,-4.66,-4.51
People's Republic of China,PRC,Hotel and restaurants and Other Personal Services,13608151.86,"Shorter containment, smaller demand shock",-0.26," 35,465.61 ",10976,-5.17,-5.30
People's Republic of China,PRC,"Light/Heavy Manufacturing, Utilities, and Construction",13608151.86,"Shorter containment, smaller demand shock",-1.59," 216,865.10 ",13475,-4.44,-4.66
People's Republic of China,PRC,Transport services,13608151.86,"Shorter containment, smaller demand shock",-0.23," 31,768.71 ",2086,-5.31,-5.22
People's Republic of China,PRC,_All,13608151.86,"Shorter containment, smaller demand shock",-4.62," 628,048.51 ",47673,-4.62,-4.74
Cyprus,CYP,"Agriculture, Mining and Quarrying",24961.98866,"Shorter containment, smaller demand shock",-0.05, 13.17 ,0,-2.12,-2.10
Cyprus,CYP,"Business, Trade, Personal, and Public Services",24961.98866,"Shorter containment, smaller demand shock",-2.17, 540.59 ,7,-3.31,-3.60
Cyprus,CYP,Hotel and restaurants and Other Personal Services,24961.98866,"Shorter containment, smaller demand shock",-1.06, 264.61 ,5,-8.30,-6.60
Cyprus,CYP,"Light/Heavy Manufacturing, Utilities, and Construction",24961.98866,"Shorter containment, smaller demand shock",-0.35, 86.25 ,2,-2.68,-2.44
Cyprus,CYP,Transport services,24961.98866,"Shorter containment, smaller demand shock",-1.20, 298.53 ,7,-18.63,-30.38
Cyprus,CYP,_All,24961.98866,"Shorter containment, smaller demand shock",-4.82," 1,203.14 ",20,-4.82,-5.51
Czech Republic,CZE,"Agriculture, Mining and Quarrying",245225.8829,"Shorter containment, smaller demand shock",-0.08, 194.95 ,5,-2.45,-2.34
Czech Republic,CZE,"Business, Trade, Personal, and Public Services",245225.8829,"Shorter containment, smaller demand shock",-1.08," 2,659.54 ",66,-2.14,-2.12
Czech Republic,CZE,Hotel and restaurants and Other Personal Services,245225.8829,"Shorter containment, smaller demand shock",-0.23, 569.93 ,22,-4.52,-4.27
Czech Republic,CZE,"Light/Heavy Manufacturing, Utilities, and Construction",245225.8829,"Shorter containment, smaller demand shock",-0.74," 1,807.50 ",48,-2.06,-2.04
Czech Republic,CZE,Transport services,245225.8829,"Shorter containment, smaller demand shock",-0.36, 884.78 ,27,-6.82,-7.08
Czech Republic,CZE,_All,245225.8829,"Shorter containment, smaller demand shock",-2.49," 6,116.70 ",168,-2.49,-2.55
Germany,GER,"Agriculture, Mining and Quarrying",3947620.163,"Shorter containment, smaller demand shock",-0.02, 748.91 ,24,-2.09,-2.06
Germany,GER,"Business, Trade, Personal, and Public Services",3947620.163,"Shorter containment, smaller demand shock",-1.20," 47,205.35 ",604,-2.07,-2.06
Germany,GER,Hotel and restaurants and Other Personal Services,3947620.163,"Shorter containment, smaller demand shock",-0.24," 9,326.14 ",210,-3.85,-3.82
Germany,GER,"Light/Heavy Manufacturing, Utilities, and Construction",3947620.163,"Shorter containment, smaller demand shock",-0.65," 25,682.18 ",254,-2.09,-2.07
Germany,GER,Transport services,3947620.163,"Shorter containment, smaller demand shock",-0.13," 5,098.37 ",72,-3.22,-3.04
Germany,GER,_All,3947620.163,"Shorter containment, smaller demand shock",-2.23," 88,060.96 ",1163,-2.23,-2.30
Denmark,DEN,"Agriculture, Mining and Quarrying",355675.3291,"Shorter containment, smaller demand shock",-0.09, 306.55 ,2,-2.50,-2.02
Denmark,DEN,"Business, Trade, Personal, and Public Services",355675.3291,"Shorter containment, smaller demand shock",-1.25," 4,453.20 ",42,-1.99,-1.97
Denmark,DEN,Hotel and restaurants and Other Personal Services,355675.3291,"Shorter containment, smaller demand shock",-0.16, 553.14 ,7,-2.28,-2.26
Denmark,DEN,"Light/Heavy Manufacturing, Utilities, and Construction",355675.3291,"Shorter containment, smaller demand shock",-0.42," 1,477.98 ",12,-1.98,-1.95
Denmark,DEN,Transport services,355675.3291,"Shorter containment, smaller demand shock",-0.15, 522.45 ,4,-2.59,-2.55
Denmark,DEN,_All,355675.3291,"Shorter containment, smaller demand shock",-2.06," 7,313.32 ",67,-2.06,-2.02
Spain,SPA,"Agriculture, Mining and Quarrying",1419041.95,"Shorter containment, smaller demand shock",-0.07, 967.25 ,23,-2.46,-2.46
Spain,SPA,"Business, Trade, Personal, and Public Services",1419041.95,"Shorter containment, smaller demand shock",-1.30," 18,434.80 ",237,-2.26,-2.21
Spain,SPA,Hotel and restaurants and Other Personal Services,1419041.95,"Shorter containment, smaller demand shock",-0.63," 8,987.87 ",210,-5.50,-5.64
Spain,SPA,"Light/Heavy Manufacturing, Utilities, and Construction",1419041.95,"Shorter containment, smaller demand shock",-0.53," 7,543.66 ",76,-2.23,-2.16
Spain,SPA,Transport services,1419041.95,"Shorter containment, smaller demand shock",-0.41," 5,883.12 ",80,-9.25,-9.00
Spain,SPA,_All,1419041.95,"Shorter containment, smaller demand shock",-2.95," 41,816.71 ",626,-2.95,-3.16
Estonia,EST,"Agriculture, Mining and Quarrying",30732.14453,"Shorter containment, smaller demand shock",-0.08, 23.73 ,1,-2.12,-1.99
Estonia,EST,"Business, Trade, Personal, and Public Services",30732.14453,"Shorter containment, smaller demand shock",-1.22, 373.59 ,9,-2.27,-2.14
Estonia,EST,Hotel and restaurants and Other Personal Services,30732.14453,"Shorter containment, smaller demand shock",-0.33, 101.23 ,5,-4.11,-4.07
Estonia,EST,"Light/Heavy Manufacturing, Utilities, and Construction",30732.14453,"Shorter containment, smaller demand shock",-0.54, 166.18 ,5,-1.97,-1.88
Estonia,EST,Transport services,30732.14453,"Shorter containment, smaller demand shock",-0.39, 118.81 ,4,-5.27,-5.25
Estonia,EST,_All,30732.14453,"Shorter containment, smaller demand shock",-2.55, 783.53 ,24,-2.55,-2.56
Finland,FIN,"Agriculture, Mining and Quarrying",276743.1205,"Shorter containment, smaller demand shock",-0.07, 206.27 ,3,-2.27,-2.23
Finland,FIN,"Business, Trade, Personal, and Public Services",276743.1205,"Shorter containment, smaller demand shock",-1.31," 3,619.87 ",36,-2.23,-2.19
Finland,FIN,Hotel and restaurants and Other Personal Services,276743.1205,"Shorter containment, smaller demand shock",-0.13, 369.22 ,6,-2.85,-2.84
Finland,FIN,"Light/Heavy Manufacturing, Utilities, and Construction",276743.1205,"Shorter containment, smaller demand shock",-0.61," 1,683.89 ",14,-2.13,-2.07
Finland,FIN,Transport services,276743.1205,"Shorter containment, smaller demand shock",-0.29, 809.07 ,9,-6.00,-5.56
Finland,FIN,_All,276743.1205,"Shorter containment, smaller demand shock",-2.42," 6,688.31 ",69,-2.42,-2.41
France,FRA,"Agriculture, Mining and Quarrying",2777535.239,"Shorter containment, smaller demand shock",-0.03, 896.94 ,16,-1.77,-1.76
France,FRA,"Business, Trade, Personal, and Public Services",2777535.239,"Shorter containment, smaller demand shock",-1.44," 39,876.38 ",398,-2.11,-2.09
France,FRA,Hotel and restaurants and Other Personal Services,2777535.239,"Shorter containment, smaller demand shock",-0.19," 5,174.49 ",80,-3.10,-2.94
France,FRA,"Light/Heavy Manufacturing, Utilities, and Construction",2777535.239,"Shorter containment, smaller demand shock",-0.39," 10,954.80 ",104,-1.99,-1.98
France,FRA,Transport services,2777535.239,"Shorter containment, smaller demand shock",-0.26," 7,270.34 ",92,-6.24,-6.35
France,FRA,_All,2777535.239,"Shorter containment, smaller demand shock",-2.31," 64,172.94 ",690,-2.31,-2.35
United Kingdom,UKG,"Agriculture, Mining and Quarrying",2855296.732,"Shorter containment, smaller demand shock",-0.04," 1,228.23 ",14,-2.23,-2.22
United Kingdom,UKG,"Business, Trade, Personal, and Public Services",2855296.732,"Shorter containment, smaller demand shock",-1.36," 38,703.85 ",512,-2.11,-2.10
United Kingdom,UKG,Hotel and restaurants and Other Personal Services,2855296.732,"Shorter containment, smaller demand shock",-0.47," 13,282.28 ",154,-4.28,-3.97
United Kingdom,UKG,"Light/Heavy Manufacturing, Utilities, and Construction",2855296.732,"Shorter containment, smaller demand shock",-0.40," 11,354.08 ",128,-2.07,-2.06
United Kingdom,UKG,Transport services,2855296.732,"Shorter containment, smaller demand shock",-0.12," 3,390.00 ",76,-3.13,-2.98
United Kingdom,UKG,_All,2855296.732,"Shorter containment, smaller demand shock",-2.38," 67,958.44 ",883,-2.38,-2.35
Greece,GRC,"Agriculture, Mining and Quarrying",218031.8446,"Shorter containment, smaller demand shock",-0.10, 217.89 ,13,-2.18,-2.14
Greece,GRC,"Business, Trade, Personal, and Public Services",218031.8446,"Shorter containment, smaller demand shock",-1.50," 3,275.09 ",62,-2.52,-2.28
Greece,GRC,Hotel and restaurants and Other Personal Services,218031.8446,"Shorter containment, smaller demand shock",-0.46," 1,004.55 ",24,-3.97,-3.96
Greece,GRC,"Light/Heavy Manufacturing, Utilities, and Construction",218031.8446,"Shorter containment, smaller demand shock",-0.41, 897.23 ,22,-2.37,-2.31
Greece,GRC,Transport services,218031.8446,"Shorter containment, smaller demand shock",-1.12," 2,439.49 ",24,-16.47,-7.89
Greece,GRC,_All,218031.8446,"Shorter containment, smaller demand shock",-3.59," 7,834.24 ",145,-3.59,-2.80
Croatia,HRV,"Agriculture, Mining and Quarrying",60971.69932,"Shorter containment, smaller demand shock",-0.16, 97.34 ,20,-2.50,-2.13
Croatia,HRV,"Business, Trade, Personal, and Public Services",60971.69932,"Shorter containment, smaller demand shock",-1.40, 851.19 ,12,-2.47,-2.47
Croatia,HRV,Hotel and restaurants and Other Personal Services,60971.69932,"Shorter containment, smaller demand shock",-0.54, 328.44 ,3,-5.36,-6.32
Croatia,HRV,"Light/Heavy Manufacturing, Utilities, and Construction",60971.69932,"Shorter containment, smaller demand shock",-0.48, 295.56 ,6,-2.14,-2.10
Croatia,HRV,Transport services,60971.69932,"Shorter containment, smaller demand shock",-0.58, 350.65 ,7,-12.98,-11.97
Croatia,HRV,_All,60971.69932,"Shorter containment, smaller demand shock",-3.15," 1,923.18 ",48,-3.15,-2.67
Hungary,HUN,"Agriculture, Mining and Quarrying",157882.9128,"Shorter containment, smaller demand shock",-0.10, 153.41 ,11,-2.15,-2.15
Hungary,HUN,"Business, Trade, Personal, and Public Services",157882.9128,"Shorter containment, smaller demand shock",-1.21," 1,906.66 ",60,-2.29,-2.23
Hungary,HUN,Hotel and restaurants and Other Personal Services,157882.9128,"Shorter containment, smaller demand shock",-0.24, 382.52 ,19,-4.15,-4.10
Hungary,HUN,"Light/Heavy Manufacturing, Utilities, and Construction",157882.9128,"Shorter containment, smaller demand shock",-0.66," 1,042.69 ",38,-2.13,-2.09
Hungary,HUN,Transport services,157882.9128,"Shorter containment, smaller demand shock",-0.67," 1,056.41 ",34,-11.51,-11.36
Hungary,HUN,_All,157882.9128,"Shorter containment, smaller demand shock",-2.88," 4,541.68 ",161,-2.88,-2.81
Indonesia,INO,"Agriculture, Mining and Quarrying",1042173.301,"Shorter containment, smaller demand shock",-0.13," 1,354.57 ",166,-0.60,-0.43
Indonesia,INO,"Business, Trade, Personal, and Public Services",1042173.301,"Shorter containment, smaller demand shock",-0.07, 738.59 ,80,-0.21,-0.20
Indonesia,INO,Hotel and restaurants and Other Personal Services,1042173.301,"Shorter containment, smaller demand shock",-0.10," 1,031.38 ",318,-1.92,-1.95
Indonesia,INO,"Light/Heavy Manufacturing, Utilities, and Construction",1042173.301,"Shorter containment, smaller demand shock",-0.14," 1,482.65 ",107,-0.43,-0.43
Indonesia,INO,Transport services,1042173.301,"Shorter containment, smaller demand shock",-0.04, 369.63 ,29,-0.62,-0.51
Indonesia,INO,_All,1042173.301,"Shorter containment, smaller demand shock",-0.48," 4,976.82 ",700,-0.48,-0.56
India,IND,"Agriculture, Mining and Quarrying",2718732.231,"Shorter containment, smaller demand shock",-0.03, 755.01 ,288,-0.18,-0.11
India,IND,"Business, Trade, Personal, and Public Services",2718732.231,"Shorter containment, smaller demand shock",-0.07," 1,969.05 ",182,-0.14,-0.15
India,IND,Hotel and restaurants and Other Personal Services,2718732.231,"Shorter containment, smaller demand shock",-0.05," 1,438.32 ",328,-1.28,-1.19
India,IND,"Light/Heavy Manufacturing, Utilities, and Construction",2718732.231,"Shorter containment, smaller demand shock",-0.05," 1,400.20 ",258,-0.24,-0.19
India,IND,Transport services,2718732.231,"Shorter containment, smaller demand shock",-0.04," 1,019.70 ",104,-0.66,-0.44
India,IND,_All,2718732.231,"Shorter containment, smaller demand shock",-0.24," 6,582.28 ",1159,-0.24,-0.20
Ireland,IRE,"Agriculture, Mining and Quarrying",382487.4905,"Shorter containment, smaller demand shock",-0.04, 138.23 ,3,-2.37,-2.36
Ireland,IRE,"Business, Trade, Personal, and Public Services",382487.4905,"Shorter containment, smaller demand shock",-0.91," 3,474.64 ",24,-1.73,-1.72
Ireland,IRE,Hotel and restaurants and Other Personal Services,382487.4905,"Shorter containment, smaller demand shock",-0.15, 583.63 ,9,-3.92,-3.89
Ireland,IRE,"Light/Heavy Manufacturing, Utilities, and Construction",382487.4905,"Shorter containment, smaller demand shock",-0.73," 2,779.28 ",17,-1.89,-2.13
Ireland,IRE,Transport services,382487.4905,"Shorter containment, smaller demand shock",-0.38," 1,458.73 ",11,-10.84,-8.88
Ireland,IRE,_All,382487.4905,"Shorter containment, smaller demand shock",-2.21," 8,434.51 ",65,-2.21,-2.39
Italy,ITA,"Agriculture, Mining and Quarrying",2083864.26,"Shorter containment, smaller demand shock",-0.06," 1,161.35 ",20,-2.09,-2.09
Italy,ITA,"Business, Trade, Personal, and Public Services",2083864.26,"Shorter containment, smaller demand shock",-1.30," 27,066.83 ",286,-2.16,-2.17
Italy,ITA,Hotel and restaurants and Other Personal Services,2083864.26,"Shorter containment, smaller demand shock",-0.32," 6,619.15 ",121,-3.66,-3.90
Italy,ITA,"Light/Heavy Manufacturing, Utilities, and Construction",2083864.26,"Shorter containment, smaller demand shock",-0.47," 9,896.80 ",121,-2.02,-1.99
Italy,ITA,Transport services,2083864.26,"Shorter containment, smaller demand shock",-0.28," 5,881.84 ",49,-5.58,-5.05
Italy,ITA,_All,2083864.26,"Shorter containment, smaller demand shock",-2.43," 50,625.97 ",597,-2.43,-2.46
Japan,JPN,"Agriculture, Mining and Quarrying",4971323.08,"Shorter containment, smaller demand shock",-0.03," 1,515.62 ",50,-2.06,-2.06
Japan,JPN,"Business, Trade, Personal, and Public Services",4971323.08,"Shorter containment, smaller demand shock",-1.16," 57,477.41 ",615,-1.95,-1.96
Japan,JPN,Hotel and restaurants and Other Personal Services,4971323.08,"Shorter containment, smaller demand shock",-0.19," 9,464.58 ",225,-2.63,-2.62
Japan,JPN,"Light/Heavy Manufacturing, Utilities, and Construction",4971323.08,"Shorter containment, smaller demand shock",-0.56," 27,803.41 ",262,-2.01,-1.99
Japan,JPN,Transport services,4971323.08,"Shorter containment, smaller demand shock",-0.16," 8,191.97 ",93,-3.80,-3.29
Japan,JPN,_All,4971323.08,"Shorter containment, smaller demand shock",-2.10," 104,453.00 ",1245,-2.10,-2.13
Republic of Korea,KOR,"Agriculture, Mining and Quarrying",1619423.701,"Shorter containment, smaller demand shock",-0.05, 805.63 ,33,-2.11,-2.11
Republic of Korea,KOR,"Business, Trade, Personal, and Public Services",1619423.701,"Shorter containment, smaller demand shock",-0.99," 15,997.12 ",282,-2.06,-2.08
Republic of Korea,KOR,Hotel and restaurants and Other Personal Services,1619423.701,"Shorter containment, smaller demand shock",-0.25," 3,980.53 ",173,-3.19,-3.15
Republic of Korea,KOR,"Light/Heavy Manufacturing, Utilities, and Construction",1619423.701,"Shorter containment, smaller demand shock",-0.84," 13,545.61 ",167,-2.17,-2.10
Republic of Korea,KOR,Transport services,1619423.701,"Shorter containment, smaller demand shock",-0.13," 2,058.00 ",66,-3.75,-4.90
Republic of Korea,KOR,_All,1619423.701,"Shorter containment, smaller demand shock",-2.25," 36,386.90 ",721,-2.25,-2.41
Lithuania,LTU,"Agriculture, Mining and Quarrying",53429.06643,"Shorter containment, smaller demand shock",-0.07, 35.09 ,3,-1.95,-1.75
Lithuania,LTU,"Business, Trade, Personal, and Public Services",53429.06643,"Shorter containment, smaller demand shock",-1.07, 572.95 ,21,-2.07,-2.16
Lithuania,LTU,Hotel and restaurants and Other Personal Services,53429.06643,"Shorter containment, smaller demand shock",-0.18, 97.70 ,6,-4.81,-4.79
Lithuania,LTU,"Light/Heavy Manufacturing, Utilities, and Construction",53429.06643,"Shorter containment, smaller demand shock",-0.56, 300.18 ,8,-1.97,-1.89
Lithuania,LTU,Transport services,53429.06643,"Shorter containment, smaller demand shock",-0.57, 301.95 ,6,-4.56,-5.04
Lithuania,LTU,_All,53429.06643,"Shorter containment, smaller demand shock",-2.45," 1,307.87 ",43,-2.45,-2.42
Luxembourg,LUX,"Agriculture, Mining and Quarrying",70885.32588,"Shorter containment, smaller demand shock",-0.01, 4.84 ,0,-1.62,-1.54
Luxembourg,LUX,"Business, Trade, Personal, and Public Services",70885.32588,"Shorter containment, smaller demand shock",-1.31, 931.21 ,5,-1.66,-1.70
Luxembourg,LUX,Hotel and restaurants and Other Personal Services,70885.32588,"Shorter containment, smaller demand shock",-0.40, 283.09 ,3,-8.48,-6.35
Luxembourg,LUX,"Light/Heavy Manufacturing, Utilities, and Construction",70885.32588,"Shorter containment, smaller demand shock",-0.23, 166.17 ,2,-1.97,-1.98
Luxembourg,LUX,Transport services,70885.32588,"Shorter containment, smaller demand shock",-0.44, 309.03 ,5,-10.68,-15.04
Luxembourg,LUX,_All,70885.32588,"Shorter containment, smaller demand shock",-2.39," 1,694.34 ",15,-2.39,-3.06
Latvia,LVA,"Agriculture, Mining and Quarrying",34409.22918,"Shorter containment, smaller demand shock",-0.08, 27.84 ,1,-2.14,-1.93
Latvia,LVA,"Business, Trade, Personal, and Public Services",34409.22918,"Shorter containment, smaller demand shock",-1.52, 523.43 ,16,-2.50,-2.44
Latvia,LVA,Hotel and restaurants and Other Personal Services,34409.22918,"Shorter containment, smaller demand shock",-0.20, 68.13 ,5,-5.22,-4.01
Latvia,LVA,"Light/Heavy Manufacturing, Utilities, and Construction",34409.22918,"Shorter containment, smaller demand shock",-0.47, 162.50 ,6,-2.08,-1.98
Latvia,LVA,Transport services,34409.22918,"Shorter containment, smaller demand shock",-1.25, 429.03 ,8,-14.30,-15.98
Latvia,LVA,_All,34409.22918,"Shorter containment, smaller demand shock",-3.52," 1,210.93 ",36,-3.52,-3.03
Mexico,MEX,"Agriculture, Mining and Quarrying",1220699.48,"Shorter containment, smaller demand shock",-0.11," 1,387.77 ",74,-1.37,-0.74
Mexico,MEX,"Business, Trade, Personal, and Public Services",1220699.48,"Shorter containment, smaller demand shock",-0.14," 1,648.60 ",51,-0.26,-0.22
Mexico,MEX,Hotel and restaurants and Other Personal Services,1220699.48,"Shorter containment, smaller demand shock",0.00, 26.68 ,3,-0.04,-0.03
Mexico,MEX,"Light/Heavy Manufacturing, Utilities, and Construction",1220699.48,"Shorter containment, smaller demand shock",-0.22," 2,691.43 ",138,-0.78,-0.83
Mexico,MEX,Transport services,1220699.48,"Shorter containment, smaller demand shock",-0.02, 197.22 ,8,-0.28,-0.30
Mexico,MEX,_All,1220699.48,"Shorter containment, smaller demand shock",-0.49," 5,951.70 ",274,-0.49,-0.44
Malta,MLT,"Agriculture, Mining and Quarrying",14553.42293,"Shorter containment, smaller demand shock",-0.02, 2.95 ,0,-2.09,-2.08
Malta,MLT,"Business, Trade, Personal, and Public Services",14553.42293,"Shorter containment, smaller demand shock",-1.45, 210.58 ,3,-2.36,-2.17
Malta,MLT,Hotel and restaurants and Other Personal Services,14553.42293,"Shorter containment, smaller demand shock",-1.14, 165.63 ,3,-6.92,-6.83
Malta,MLT,"Light/Heavy Manufacturing, Utilities, and Construction",14553.42293,"Shorter containment, smaller demand shock",-0.32, 45.97 ,1,-2.03,-1.97
Malta,MLT,Transport services,14553.42293,"Shorter containment, smaller demand shock",-0.31, 45.54 ,1,-5.43,-5.14
Malta,MLT,_All,14553.42293,"Shorter containment, smaller demand shock",-3.23, 470.67 ,8,-3.23,-3.25
Netherlands,NET,"Agriculture, Mining and Quarrying",913658.4657,"Shorter containment, smaller demand shock",-0.06, 588.94 ,6,-2.21,-2.00
Netherlands,NET,"Business, Trade, Personal, and Public Services",913658.4657,"Shorter containment, smaller demand shock",-1.44," 13,188.84 ",141,-2.09,-2.08
Netherlands,NET,Hotel and restaurants and Other Personal Services,913658.4657,"Shorter containment, smaller demand shock",-0.13," 1,173.74 ",20,-2.65,-2.55
Netherlands,NET,"Light/Heavy Manufacturing, Utilities, and Construction",913658.4657,"Shorter containment, smaller demand shock",-0.39," 3,527.18 ",32,-2.04,-1.99
Netherlands,NET,Transport services,913658.4657,"Shorter containment, smaller demand shock",-0.29," 2,659.87 ",26,-6.66,-6.93
Netherlands,NET,_All,913658.4657,"Shorter containment, smaller demand shock",-2.31," 21,138.58 ",225,-2.31,-2.29
Norway,NOR,"Agriculture, Mining and Quarrying",434166.6154,"Shorter containment, smaller demand shock",-0.36," 1,570.46 ",18,-2.24,-1.53
Norway,NOR,"Business, Trade, Personal, and Public Services",434166.6154,"Shorter containment, smaller demand shock",-1.08," 4,701.63 ",14,-2.03,-2.08
Norway,NOR,Hotel and restaurants and Other Personal Services,434166.6154,"Shorter containment, smaller demand shock",-0.11, 486.75 ,1,-2.48,-2.44
Norway,NOR,"Light/Heavy Manufacturing, Utilities, and Construction",434166.6154,"Shorter containment, smaller demand shock",-0.35," 1,529.93 ",7,-1.96,-2.03
